query_search_term,correct_result_URL
deaths respiratory for under 75 year olds,https://data.england.nhs.uk/dataset/phe-indicator-40701
nhs workforce data,https://digital.nhs.uk/data-and-information/publications/statistical/nhs-workforce-statistics/september-2020
nhs turnover,https://digital.nhs.uk/data-and-information/publications/statistical/nhs-workforce-statistics/september-2020
nhs workforce statistics,https://digital.nhs.uk/data-and-information/publications/statistical/nhs-workforce-statistics/september-2020
nhs workforce statistics 2019,https://digital.nhs.uk/data-and-information/publications/statistical/nhs-workforce-statistics/september-2020
nhs digital workforce statistics,https://digital.nhs.uk/data-and-information/publications/statistical/nhs-workforce-statistics/september-2020
gp workforce data,https://digital.nhs.uk/data-and-information/publications/statistical/nhs-workforce-statistics/september-2020
nhs digital gp workforce,https://digital.nhs.uk/data-and-information/publications/statistical/nhs-workforce-statistics/september-2020
nhs workforce demographics,https://digital.nhs.uk/data-and-information/publications/statistical/nhs-workforce-statistics/september-2020
gp workforce statistics,https://digital.nhs.uk/data-and-information/publications/statistical/nhs-workforce-statistics/september-2020
